author_id,text,created_at,public_metrics
869655716973490177,RT @Barchart: Apple $AAPL has partnered with Goldman Sachs to offer its credit card holders the option to open a high yield savings account…,2023-04-18T02:07:24.000Z,"{'retweet_count': 8, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
2759040185,RT @Stephanie_Link: $AAPL Looks to Boost Production Outside China  https://t.co/yEJzYCeevk,2023-04-18T02:07:24.000Z,"{'retweet_count': 14, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
1644463552621584385,RT @Barchart: Apple $AAPL has partnered with Goldman Sachs to offer its credit card holders the option to open a high yield savings account…,2023-04-18T02:06:37.000Z,"{'retweet_count': 8, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
53605413,"RT @thisisorlando: Would you sign up for that?

I have the Apple Card, besides looking cool, it’s pretty useless..
$AAPL",2023-04-18T02:06:18.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
860869806500839429,"RT @realpristinecap: $AAPL choosing violence 

APPLE CARD’S NEW HIGH-YIELD SAVINGS ACCOUNT IS NOW AVAILABLE, OFFERING A 4.15 PERCENT APY, A…",2023-04-18T02:06:14.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
461768237,"Apple now has 21% of the global market share, up from 18% a year-ago https://t.co/GE4Le0VVnP $AAPL",2023-04-18T02:06:13.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 23}"
461768237,"Apple revamps its 'Trade In' website, talks about environmental benefits https://t.co/FkXTRTrFmZ $AAPL",2023-04-18T02:06:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 23}"
461768237,Drop CTRL mechanical keyboard review: premium typing but difficult customization https://t.co/emPHx78Q1S $AAPL https://t.co/HY7tanFsAR,2023-04-18T02:06:10.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 28}"
2759040185,"RT @Stephanie_Link: $AAPL:  strong Q with a beat in EPS, Revs, GM with ATH record revs in Services and MQ records in iPhones, Macs, Wearabl…",2023-04-18T02:05:07.000Z,"{'retweet_count': 31, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
1236029576142360576,CheddarFlow just mentioned $AAPL at stock price 165.19$!,2023-04-18T02:03:39.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 53}"
1278869471436828673,"How to set up Apple's new savings account on an iPhone
https://t.co/sUFlOdMnUx
More news about $AAPL on #TickerTick https://t.co/m62JCDIsJ3",2023-04-18T02:03:38.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 17}"
1236029576142360576,"CheddarFlow just mentioned $AAPL at price $165.19. They first mentioned it on 03, Nov 2022, at $144.16.
Change since mention: 14.59%. https://t.co/2FGwdRWlhG",2023-04-18T02:03:18.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 79}"
1214957598073589760,"$AAPL was the 5th most mentioned on wallstreetbets over the last 24 hoursVia https://t.co/DoXFBxbWjw#aapl    #wallstreetbets  #trading https://t.co/itDH57HM8K",2023-04-18T02:03:09.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 20}"
1348406014119456770,"RT @mikalche: $AAPL CFO  Luca Maestri reports selling 69,996 shares at a total cost of $11,566,839.00",2023-04-18T02:02:46.000Z,"{'retweet_count': 16, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
1192654212695379968,"$AAPL Apr 17               
Buy and Hold               
◆ Search for stock 10 day forecast and technical analysis by pretiming               
https://t.co/F2Q5yjlmJs               
◆ Forecast... https://t.co/tCWyCG1DNX https://t.co/wEwGTDyJlC",2023-04-18T02:02:45.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 37}"
873669531427893248,RT @CheddarFlow: Buybacks have Inflated $AAPL's Earnings Per Share https://t.co/05ijfB3gUs,2023-04-18T02:01:13.000Z,"{'retweet_count': 5, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
1026208311379734528,RT @CheddarFlow: Buybacks have Inflated $AAPL's Earnings Per Share https://t.co/05ijfB3gUs,2023-04-18T02:00:29.000Z,"{'retweet_count': 5, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
1295430113991856128,"$AAPL #AAPL you know what is to be done here, guess you know #trendlines now if you have been following us for sometime 😜  

#PlanYourTrades https://t.co/37hGvAGxtD",2023-04-18T02:00:07.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 36}"
